id,user_name,tweet,created_at,retweet_count
1097310566027350016,Remo Zaccagna, Suzanne Rent HfxJohnny Wheels Ninja KTanPot nadia detriment jerryleewilson Seebo429 girrl friday shaylayy ,Mon Feb 18 01:43:20 +0000 2019,0
1097310564928282624,Warren Kinsella,After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Mon Feb 18 01:43:20 +0000 2019,0
1097310563162644480,Yvonne Pilon,You are inspirational TareqHadhad I m so blessed to have heard your entrepreneurial story in Halifax Peace by ,Mon Feb 18 01:43:19 +0000 2019,0
1097310472573992961,Dani S ,Gonna miss you Halifax ,Mon Feb 18 01:42:58 +0000 2019,0
1097310371579256833,TRUNorthVISAS COM Canada Eh ,VISIT GO ON LINE SECURE A family assessment REGARDING your future in canada ,Mon Feb 18 01:42:34 +0000 2019,0
1097310298216845314,David Brien,14 Brien s from Halifax Nova Scotia at our 1st panthershabsgame OneTerritory ,Mon Feb 18 01:42:16 +0000 2019,0
1097310060613636096,Iljane Beatrice Buck,RT HaliJohnMcPhee The traffic disruption on Spring Garden might have annoyed a few drivers but these ExtinctionR folks know how to throw ,Mon Feb 18 01:41:20 +0000 2019,4
1097310004573622274,Freshii ScotiaSquare,RT Skratch Oh my ,Mon Feb 18 01:41:06 +0000 2019,584
1096753979084529667,Voyage Around My Dad Harry Leslie Smith,Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Sat Feb 16 12:51:39 +0000 2019,90
1096616572704120832,Lorrie Goldstein,Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Sat Feb 16 03:45:39 +0000 2019,119
1096771179757559809,Canadian War Museum, BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Sat Feb 16 14:00:00 +0000 2019,20
1097312106737586176,Kicks Deals Canada,RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Mon Feb 18 01:49:27 +0000 2019,5
1097312074269712384,Gianne,RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Mon Feb 18 01:49:20 +0000 2019,5
1097312042384539648, CJStrong,RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Mon Feb 18 01:49:12 +0000 2019,5
1097311982162665472,Martha,RT rto ero We are thrilled to be hosting an event today for 100 members to meet with MarthaLFoster and JimAwesomeYears Halifax is the ,Mon Feb 18 01:48:58 +0000 2019,2
1097311809030316032,Courtside,Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Mon Feb 18 01:48:16 +0000 2019,5
1097311749924102145,HHB, MacKayBridge Dartmouth to Halifax Activity Traffic conditions Dartmouth bound light volumes Halifax bound l ,Mon Feb 18 01:48:02 +0000 2019,0
1097311666344210440,Maxine Cook ,RT RCMPNS MissingPerson Halifax District RCMP seeks public s assistance locating missing man LowerSackville R ,Mon Feb 18 01:47:42 +0000 2019,21
1097311466301124608,Peg Johnson,RT haligonia Halifax District RCMP is asking for assistance from the public to locate 59 year old Patrick Oliver Release https ,Mon Feb 18 01:46:55 +0000 2019,11
1097311362529878016,Tom Servaes,RT HaliJohnMcPhee The traffic disruption on Spring Garden might have annoyed a few drivers but these ExtinctionR folks know how to throw ,Mon Feb 18 01:46:30 +0000 2019,5
1097311329562578944,Renaud Gagne, Canada Halifax artist apologizes for controversial cartoon of Jody Wilson Raybould I th ,Mon Feb 18 01:46:22 +0000 2019,0
1097311260302065669,John Bennett,Drouin has to be better than this thinks he s back in Halifax again Habs,Mon Feb 18 01:46:06 +0000 2019,0
1097310945196544000,Sportwheels,RT WolvesJrALax Welcome to Halifax HFXThunderbirds Was great attending the brand launch event yesterday really building excitement ,Mon Feb 18 01:44:51 +0000 2019,1
1096753979084529667,Voyage Around My Dad Harry Leslie Smith,Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Sat Feb 16 12:51:39 +0000 2019,90
1096771179757559809,Canadian War Museum, BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Sat Feb 16 14:00:00 +0000 2019,20
1096914949421629441,NPAS Carr Gate,16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Sat Feb 16 23:31:18 +0000 2019,20
1097341242382241792, ,After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Mon Feb 18 03:45:14 +0000 2019,0
1097340730165678081,NeoPeewee,I wanna give a shout out to all the HRM folk that followed me for my Halifax Transit comments but then didn t imme ,Mon Feb 18 03:43:12 +0000 2019,0
1097340610745417729,Raymond,After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Mon Feb 18 03:42:43 +0000 2019,0
1097340358529351682,Amanda White, MaximeBernier I watched your interview with the Toronto Sun Excellent answers as always I believe you are the o ,Mon Feb 18 03:41:43 +0000 2019,0
1097340200504774656,TLT,RT RCMPNS MissingPerson Halifax District RCMP seeks public s assistance locating missing man LowerSackville R ,Mon Feb 18 03:41:06 +0000 2019,27
1097339675285413890,Cath,RT teamnovascotia Congrats to Alex Bulgaru of Halifax He won his first bout at the 2019CanadaGames via referee stoppage supernova ht ,Mon Feb 18 03:39:00 +0000 2019,1
1097339510663319552,TravelNow,RT FlytrippersOTT Flight deals from Ottawa top8 eight reasons to visit NewZealand YOW ott ncr traveltuesday travel trav ,Mon Feb 18 03:38:21 +0000 2019,1
1097339490270699521,TravelNow,RT FlytrippersCGY Flight deals from Calgary top8 eight reasons to visit NewZealand YYC cgy ab abtravel traveltuesday tr ,Mon Feb 18 03:38:16 +0000 2019,1
1097339486411911171,TravelNow,RT FlytrippersWPG Flight deals from Winnipeg top8 eight reasons to visit NewZealand YWG wpg mnb traveltuesday travel tr ,Mon Feb 18 03:38:15 +0000 2019,1
1097338940699246592,Outdoor Bob,RT cmysaul Put the brakes on ClimateChange 1 5 to stay alive I have seen the future and it s not oil halifax ExtinctionRebellion ht ,Mon Feb 18 03:36:05 +0000 2019,10
1097338855450132481,Jay Allen, crankywxguy Love me some high pressure that keeps this south of Halifax,Mon Feb 18 03:35:45 +0000 2019,0
1097338790614654981,Flytrippers Winnipeg, Flight deals from Winnipeg top8 eight reasons to visit NewZealand YWG wpg mnb traveltuesday travel very expensive ,Mon Feb 18 03:35:29 +0000 2019,1
1096753979084529667,Voyage Around My Dad Harry Leslie Smith,Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Sat Feb 16 12:51:39 +0000 2019,90
1096771179757559809,Canadian War Museum, BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Sat Feb 16 14:00:00 +0000 2019,20
1096914949421629441,NPAS Carr Gate,16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Sat Feb 16 23:31:18 +0000 2019,20
1097348700987375621,sravan s,Halifax Nova Scotia,Mon Feb 18 04:14:52 +0000 2019,0
1097348476663484416,Janyce McGregor,After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Mon Feb 18 04:13:59 +0000 2019,0
1097347309841592321,Kristy Moreno,RT theboutiqueadv 25 Fun Things to do in Halifax Nova Scotia ,Mon Feb 18 04:09:21 +0000 2019,139
1097347272222724096,common grackle,Why has every single person in Halifax played volleyball,Mon Feb 18 04:09:12 +0000 2019,0
1097346106537771008,WX Halifax,Mon midnight Temp 5 7 C Windchill 11 Wind NW 15 km h Humidity 54 Press 101 7 kPa rising ,Mon Feb 18 04:04:34 +0000 2019,0
1097345786344550400,Halifax Jobs,Keyholder Sales Associate Halifax Structube Halifax NS Description The Key Holder Sales Associate is resp ,Mon Feb 18 04:03:17 +0000 2019,0
1097345543225962497,AtlanticTopEmployers,Customer Loyalty Representative Admiral Insurance Services Halifax NS Halifax Nova Scotia In a competitive ma ,Mon Feb 18 04:02:19 +0000 2019,0
