id,user_name,tweet,created_at,retweet_count
1098316607112257537, ,RT AlexanderQuon The Ummah Mosque has released the ages and identities of the seven children who died in a fire in Spryfield Heartbreaki ,Wed Feb 20 20:20:59 +0000 2019,0
1098316657317928960,Kyle, JPogubila 680NEWS do homeless in Halifax also get to live in a new home Asking for a friend,Wed Feb 20 20:21:11 +0000 2019,0
1098316681426931712,Air Canada, Coopacdc Hello I invite you to keep an eye on the travel alerts as Halifax is not yet part of those areas affecte ,Wed Feb 20 20:21:17 +0000 2019,0
1098316734048681984,Graham Johnston,RT North Nova It seems impossible Group that sponsored Syrian refugee family mourns children CBC News ,Wed Feb 20 20:21:29 +0000 2019,0
1098316741044854784,Keplar Alpha,RT TheRickHoweShow A community gathering is scheduled for tonight at 7 p m at Grand Parade Square to remember the Spryfield fire victim ,Wed Feb 20 20:21:31 +0000 2019,0
1098316955327565826,Harrison Duckett,How good was that,Wed Feb 20 20:22:22 +0000 2019,0
1098317136810917888,Sarah Dobson,RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Wed Feb 20 20:23:05 +0000 2019,0
1098317171585736705,Christine Kondo,I can t stop thinking about all those kids killed in that house fire in Halifax Devastated gutted heartbroken ,Wed Feb 20 20:23:14 +0000 2019,0
1098317483675652097, MaryAnne, ,Wed Feb 20 20:24:28 +0000 2019,0
1098317496409452544,Max,Seven Syrian refugee children die in early morning Halifax house fire Topbuzz ,Wed Feb 20 20:24:31 +0000 2019,0
1098317503451856896,Teens Cam Girls 18 ,pussy lips peachyforum free clean porn sites medical sexcyschool girls blow job julian pierce fucked gallries teen ,Wed Feb 20 20:24:33 +0000 2019,0
1098317640337182720,DFLA,RT RefugeeClinic A completely devastating and heartbreaking tragedy Such a beautiful and resilient family who came here for a better and ,Wed Feb 20 20:25:05 +0000 2019,0
1098317682645061635,Junior Achievement,RT nspowerinc Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent company ,Wed Feb 20 20:25:15 +0000 2019,0
1098317735270977536,ColleenAtCUPE, I ve never had a Black teacher Halifax panel tackles inequality in the classroom via ,Wed Feb 20 20:25:28 +0000 2019,0
1098317735774294016,NSBusinessHallofFame,RT nspowerinc Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent company ,Wed Feb 20 20:25:28 +0000 2019,0
1098317738764832780,David Bentley,RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Wed Feb 20 20:25:29 +0000 2019,0
1098317752853499914,CandiJM,RT TopSegunda Viendo este art culo compartido por Lugoslavia alguien se hab a dado cuenta de que Jaime Mata est en la imagen Curioso ,Wed Feb 20 20:25:32 +0000 2019,0
1098317773816639489, Concerned Citizen ,RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Wed Feb 20 20:25:37 +0000 2019,0
1098317935834251264,AllCraft Halifax,A truly heartbreaking story From everyone at All Craft our thoughts and prayers go out to the family community a ,Wed Feb 20 20:26:16 +0000 2019,0
1098318060274892801,Steve Smith,very tragic they may have been unfamiliar with western appliances and safety precautions we just take for granted ,Wed Feb 20 20:26:45 +0000 2019,0
1098318177027657732,Greetland Goldstars,RT BriggsPriestley We believe branding your building not only says who you are but helps people to find you and build trust in the busi ,Wed Feb 20 20:27:13 +0000 2019,0
1098318182564139019,SPRINGTIDE,Here s a free event being put on by the ppforumca at DalhousieU on March 6th featuring carljackmiller on synthe ,Wed Feb 20 20:27:15 +0000 2019,0
1098318206282850304,EleniA,RT ToulasTake The story out of Halifax about the Syrian family losing all six children in a fire broke my heart The comments found on t ,Wed Feb 20 20:27:20 +0000 2019,0
1098318305679544320,CBC News Alerts,Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking peop ,Wed Feb 20 20:27:44 +0000 2019,0
1098318383915757568,Mike,If this Halifax expansion doesn t work this time around I fully expect it to fall apart let us never ever ever t ,Wed Feb 20 20:28:03 +0000 2019,0
1098318421081706496,James Glasheen,Another good gathering RamsdensLLP Huddersfield4U Huddersfieldis,Wed Feb 20 20:28:12 +0000 2019,0
1098318427318509568,Kevyn,RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Wed Feb 20 20:28:13 +0000 2019,0
1098318532738248705,Tree,RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Wed Feb 20 20:28:38 +0000 2019,0
1098318623947382784,passion,RT NarcityCanada Canadians are heartbroken over the incident canada ,Wed Feb 20 20:29:00 +0000 2019,0
1098318733771124737,alive spaghetti with the ability to hate,RT Cam Oflage it would be rly good if the general energy in Canada shifted away from assuming we can t end up like Brazil the US etc ,Wed Feb 20 20:29:26 +0000 2019,0
1098318818705899520,Lyla Daniels,RT ocean panda My heart aches so much for this family I ll be there in spirit ,Wed Feb 20 20:29:46 +0000 2019,0
1098318888104792064,Cole Hbr Wx EW3446,Wnd NNW 22 km h Max 59 2 km h at 06 18 Dry T 7 6C Chill 14C H 7 5C L 13 9C Rn24h 0 0 mm DP 18 0C Hum ,Wed Feb 20 20:30:03 +0000 2019,0
1098318896858304512,Steven Tobin,Halifax has expanded their apprenticeship procurement program to help equip workers with in demand skills See ,Wed Feb 20 20:30:05 +0000 2019,0
1098318904802316297,CCLC,Our hearts and thoughts are with family and friends of the Barho family Syrian Refugees who came to Canada in 2017 ,Wed Feb 20 20:30:07 +0000 2019,0
1098318911391567882,Moe,RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Wed Feb 20 20:30:08 +0000 2019,0
1098318922624000000,The Star Halifax,Just in from police ,Wed Feb 20 20:30:11 +0000 2019,0
1098318939870978048,StephRobers,RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Wed Feb 20 20:30:15 +0000 2019,0
1098318951250038791,Lou Kavar,Developing our capacity for compassion makes it possible for us to help others in a more skillful and effective way Roshi Joan Halifax,Wed Feb 20 20:30:18 +0000 2019,0
1098319060503150593,AdvocateDaily com,Halifax calls community gathering to mourn Syrian children killed in fire law legalnews ,Wed Feb 20 20:30:44 +0000 2019,0
1098319072985563136,Simon Thomas,RT WarringtonRLFC1 A look back at this unbelievable try by jonathan davies at thrum hall vs halifax The way he fakes the kick and puts t ,Wed Feb 20 20:30:47 +0000 2019,0
1098319082242408448,Gandom,In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our ,Wed Feb 20 20:30:49 +0000 2019,0
1098319120058200065,BeerCanada,RT GarrisonBrewing We re hiring Check out our posting for Sales Representative HRM here halifaxnoisejobs hal ,Wed Feb 20 20:30:58 +0000 2019,0
1098319130489470976,Gandom,In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our ,Wed Feb 20 20:31:01 +0000 2019,0
1098319151150624768,St Louis Fire Dept,RT CBCAlerts Police have confirmed multiple fatalities in an overnight house fire in Spryfield within the Halifax Regional Municipality ,Wed Feb 20 20:31:06 +0000 2019,0
1098319165788688385,St Louis Fire Dept,RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Wed Feb 20 20:31:09 +0000 2019,0
1098319436438740992,Andy Graves, queenchristina They could trigger an election Corbyn They have handed the field of battle to the brexiteers in ,Wed Feb 20 20:32:14 +0000 2019,0
1098319496404701193,Sans Peur,RT TourismCB Sign us up RT VisitNovaScotia A2 Burger Week is coming up in Halifax in March Nothing warms you up in winter like a d ,Wed Feb 20 20:32:28 +0000 2019,0
1098319608207929345,kainat malik,RT thestarhalifax This is the family impacted by the fatal fire that killed seven children A neighbour said the family included seven ch ,Wed Feb 20 20:32:55 +0000 2019,0
1098319707420135429,Coop, AirCanada Do you anticipate putting a travel advisory out for Halifax ,Wed Feb 20 20:33:18 +0000 2019,0
1098319775195893766,Doctors Jobs NZ,Salaried GP Role Halifax doctorsjobsnz weloveUKGPs,Wed Feb 20 20:33:34 +0000 2019,0
1098319832326463488,multi biome girlfriend,RT Cam Oflage it would be rly good if the general energy in Canada shifted away from assuming we can t end up like Brazil the US etc ,Wed Feb 20 20:33:48 +0000 2019,0
1098319867999150082,Felix Croc Josh ,that s my highschool alright,Wed Feb 20 20:33:56 +0000 2019,0
1098319913607925767,Marek Kubow,RT londoncclc Our hearts and thoughts are with family and friends of the Barho family Syrian Refugees who came to Canada in 2017 Seven ,Wed Feb 20 20:34:07 +0000 2019,0
1098319917584007168,Jeremy Woolward,RT FireFitWorld Sending prayers and support to all of our FireFit Family in Halifax Also to the family and friends of the Barho family ,Wed Feb 20 20:34:08 +0000 2019,0
